ind,rating,timestamp
3084,5.0,1996-05-11 05:54:37
3455,8.0,1996-05-11 23:39:44
3994,12.0,1996-05-13 14:35:40
4341,17.0,1996-05-15 02:25:34
4542,20.0,1996-05-15 11:48:17
4606,24.0,1996-05-15 13:28:35
4701,27.0,1996-05-16 06:01:45
4876,31.0,1996-05-16 11:08:13
5054,36.0,1996-05-17 05:02:31
5544,41.0,1996-05-18 06:45:04
5825,45.0,1996-05-19 09:40:05
5987,49.0,1996-05-19 17:31:40
6275,52.0,1996-05-20 02:43:36
6603,56.0,1996-05-20 13:18:52
7055,61.0,1996-05-23 05:02:58
7246,66.0,1996-05-23 17:53:18
7581,69.0,1996-05-24 17:43:46
8003,74.0,1996-05-25 21:14:54
8051,78.0,1996-05-26 05:21:30
8178,82.0,1996-05-26 09:47:08
8352,87.0,1996-05-26 23:22:01
8483,92.0,1996-05-27 09:10:46
8642,96.0,1996-05-27 20:19:19
9102,101.0,1996-05-29 21:35:13
9239,106.0,1996-05-29 22:32:54
9388,109.0,1996-05-30 10:38:45
9453,112.0,1996-05-30 12:21:06
9749,117.0,1996-05-31 08:16:07
9839,120.0,1996-05-31 08:39:42
10230,125.0,1996-06-01 17:37:28
10426,129.0,1996-06-02 08:46:43
10682,134.0,1996-06-03 13:51:36
10804,139.0,1996-06-03 15:49:49
11090,143.0,1996-06-04 07:55:47
11154,147.0,1996-06-04 12:42:28
11247,152.0,1996-06-05 02:04:19
11380,157.0,1996-06-05 12:50:03
11716,160.0,1996-06-06 13:15:14
11760,164.0,1996-06-06 19:58:08
11912,169.0,1996-06-07 14:17:55
12016,174.0,1996-06-07 16:18:48
12080,179.0,1996-06-07 18:12:04
12169,184.0,1996-06-08 04:45:42
12366,188.0,1996-06-09 08:08:05
12415,193.0,1996-06-09 08:42:20
12711,198.0,1996-06-10 10:37:05
12769,202.0,1996-06-10 12:04:45
12831,207.0,1996-06-10 19:20:25
13816,211.0,1996-06-13 13:21:25
14341,213.0,1996-06-14 22:10:34
14788,216.0,1996-06-17 11:14:02
15059,219.0,1996-06-17 13:52:52
15497,223.0,1996-06-19 03:01:22
15640,226.0,1996-06-19 10:06:27
15924,231.0,1996-06-20 15:04:32
16023,234.0,1996-06-21 01:38:43
16147,239.0,1996-06-21 23:53:45
16192,243.0,1996-06-22 02:11:47
16607,246.0,1996-06-23 09:07:20
16719,250.0,1996-06-23 11:07:03
17224,253.0,1996-06-24 07:33:30
17829,256.0,1996-06-25 22:44:39
18056,260.0,1996-06-26 12:51:11
18124,264.0,1996-06-26 15:56:16
18274,268.0,1996-06-26 17:08:12
18929,271.0,1996-06-29 03:32:26
18991,274.0,1996-06-29 11:49:17
19294,277.0,1996-06-30 20:06:24
19551,281.0,1996-07-01 23:28:33
19813,285.0,1996-07-02 16:43:52
19965,288.0,1996-07-03 11:03:06
20010,292.0,1996-07-03 11:42:57
20130,297.0,1996-07-03 13:54:19
20653,301.0,1996-07-04 21:42:38
20817,304.0,1996-07-05 12:50:32
20897,307.0,1996-07-05 17:21:24
21134,310.0,1996-07-06 15:37:43
21280,315.0,1996-07-06 19:38:54
21397,319.0,1996-07-06 22:15:58
21470,323.0,1996-07-07 09:43:47
21565,328.0,1996-07-07 15:56:34
21755,331.0,1996-07-07 21:41:31
21962,335.0,1996-07-08 15:48:58
22128,340.0,1996-07-09 10:13:39
22250,343.0,1996-07-09 14:33:49
22467,347.0,1996-07-10 08:40:07
23037,350.0,1996-07-12 11:20:59
23175,354.0,1996-07-12 15:19:38
23509,359.0,1996-07-13 16:37:12
23705,364.0,1996-07-15 07:31:44
24290,369.0,1996-07-17 07:51:10
24471,373.0,1996-07-18 06:43:35
24974,377.0,1996-07-19 09:39:24
25243,381.0,1996-07-20 05:11:42
25908,383.0,1996-07-23 20:24:53
25998,387.0,1996-07-24 06:04:23
26270,391.0,1996-07-25 11:26:52
26365,394.0,1996-07-25 23:15:11
26596,399.0,1996-07-28 04:23:05
26843,403.0,1996-07-29 18:38:43
28952,407.0,1996-08-08 03:51:46
29020,412.0,1996-08-08 14:26:36
29144,416.0,1996-08-09 17:01:14
29294,419.0,1996-08-11 09:09:39
29442,422.0,1996-08-12 08:40:08
