ind,movieId,rating,timestamp
5512060,745,0.5,2013-12-25 06:05:44
5512061,1066,4.5,2013-12-25 06:06:57
5512062,17,0.5,2013-12-25 06:07:59
5512063,1036,3.5,2013-12-25 06:08:15
5512064,457,5.0,2013-12-25 06:11:40
5512065,946,5.0,2013-12-25 08:06:26
5512066,362,3.5,2013-12-25 08:30:16
5512067,830,3.0,2013-12-25 08:30:55
5512068,613,3.5,2013-12-25 08:34:16
5512069,539,4.0,2013-12-25 08:43:47
5512070,39,3.0,2013-12-25 08:49:58
5512071,833,2.5,2013-12-25 08:56:13
5512072,362,3.5,2013-12-25 09:00:06
5512073,267,4.0,2013-12-25 09:01:47
5512074,239,4.0,2013-12-25 09:02:23
5512075,356,5.0,2013-12-25 09:02:48
5512076,593,4.0,2013-12-25 09:03:23
5512077,191,4.0,2013-12-25 09:04:12
5512078,593,4.0,2013-12-25 09:07:22
5512079,780,5.0,2013-12-25 09:12:15
5512080,924,5.0,2013-12-25 09:12:54
5512081,277,3.0,2013-12-25 09:53:27
5512082,953,3.0,2013-12-25 10:07:32
5512083,231,4.0,2013-12-25 11:09:42
5512084,34,2.5,2013-12-25 11:09:54
5512085,300,4.0,2013-12-25 12:51:29
5512086,316,3.0,2013-12-25 14:59:21
5512087,539,2.5,2013-12-25 15:00:10
5512088,292,3.5,2013-12-25 15:00:28
5512089,339,2.0,2013-12-25 15:00:51
5512090,442,2.0,2013-12-25 15:02:32
5512091,852,2.5,2013-12-25 15:04:09
5512092,743,2.0,2013-12-25 15:04:16
5512093,196,3.5,2013-12-25 15:04:36
5512094,953,2.5,2013-12-25 15:48:38
5512095,47,4.0,2013-12-25 15:50:29
5512096,551,2.0,2013-12-25 16:20:43
5512097,350,3.5,2013-12-25 16:22:30
5512098,798,3.0,2013-12-25 16:31:31
5512099,516,3.0,2013-12-25 16:31:46
5512100,358,3.5,2013-12-25 16:32:06
5512101,175,2.5,2013-12-25 16:32:22
5512102,458,3.0,2013-12-25 16:45:04
5512103,433,3.5,2013-12-25 16:45:47
5512104,275,3.5,2013-12-25 16:45:56
5512105,762,3.5,2013-12-25 16:59:38
5512106,485,2.0,2013-12-25 17:00:04
5512107,435,2.0,2013-12-25 17:00:10
5512108,379,1.0,2013-12-25 17:00:18
5512109,193,2.0,2013-12-25 17:00:46
5512110,215,4.0,2013-12-25 17:28:25
5512111,551,4.5,2013-12-25 17:39:14
5512112,370,2.0,2013-12-25 17:43:46
5512113,105,5.0,2013-12-25 18:41:24
5512114,256,2.0,2013-12-25 18:41:31
5512115,31,3.5,2013-12-25 18:41:43
5512116,475,4.0,2013-12-25 18:42:07
5512117,849,3.0,2013-12-25 18:42:19
5512118,455,2.5,2013-12-25 18:42:25
5512119,79,3.5,2013-12-25 18:43:40
5512120,318,4.5,2013-12-25 18:52:30
5512121,527,4.0,2013-12-25 18:52:35
5512122,593,4.0,2013-12-25 18:54:18
5512123,47,4.0,2013-12-25 18:55:17
5512124,50,4.0,2013-12-25 18:55:21
5512125,953,4.0,2013-12-25 19:29:30
5512126,428,4.5,2013-12-25 19:33:34
5512127,901,4.0,2013-12-25 19:39:34
5512128,587,3.5,2013-12-25 19:56:00
5512129,356,5.0,2013-12-25 20:01:38
5512130,480,4.0,2013-12-25 20:01:48
5512131,442,3.5,2013-12-25 20:03:20
5512132,251,3.5,2013-12-25 21:27:57
5512133,36,4.0,2013-12-25 21:32:05
5512134,551,4.0,2013-12-25 21:41:43
5512135,333,3.0,2013-12-25 22:03:58
5512136,31,3.5,2013-12-25 22:04:29
5512137,431,3.5,2013-12-25 22:05:17
5512138,318,5.0,2013-12-25 22:08:23
5512139,527,4.5,2013-12-25 22:08:33
5512140,593,5.0,2013-12-25 22:10:10
5512141,296,4.0,2013-12-25 22:11:14
5512142,541,4.5,2013-12-25 22:11:55
5512143,194,4.0,2013-12-25 22:19:55
5512144,5,0.5,2013-12-25 22:19:56
5512145,552,1.5,2013-12-25 22:19:58
5512146,485,0.5,2013-12-25 22:20:03
5512147,277,0.5,2013-12-25 22:20:56
5512148,924,5.0,2013-12-25 22:21:58
5512149,541,4.0,2013-12-25 22:22:03
5512150,912,2.5,2013-12-25 22:22:08
5512151,858,4.0,2013-12-25 22:22:14
5512152,908,5.0,2013-12-25 23:05:33
5512153,778,4.0,2013-12-25 23:06:36
5512154,928,4.5,2013-12-25 23:37:33
5512155,535,4.5,2013-12-26 00:05:24
5512156,519,0.5,2013-12-26 00:05:42
5512157,540,0.5,2013-12-26 00:05:57
5512158,750,3.5,2013-12-26 00:09:40
5512159,296,4.0,2013-12-26 00:09:53
5512160,608,5.0,2013-12-26 00:09:57
5512161,555,2.5,2013-12-26 00:13:23
5512162,18,4.0,2013-12-26 00:15:43
5512163,50,3.0,2013-12-26 00:17:15
5512164,527,2.5,2013-12-26 00:17:19
5512165,904,4.0,2013-12-26 00:17:36
5512166,260,2.5,2013-12-26 00:20:26
5512167,593,3.0,2013-12-26 00:20:44
5512168,333,3.0,2013-12-26 00:31:12
5512169,431,3.0,2013-12-26 00:32:04
5512170,362,3.0,2013-12-26 00:32:39
5512171,524,4.0,2013-12-26 00:32:42
5512172,318,4.5,2013-12-26 00:35:49
5512173,858,5.0,2013-12-26 00:35:52
5512174,527,3.5,2013-12-26 00:35:57
5512175,750,3.5,2013-12-26 00:36:37
5512176,260,3.0,2013-12-26 00:37:16
5512177,593,3.5,2013-12-26 00:37:30
5512178,296,4.0,2013-12-26 00:38:23
5512179,110,3.5,2013-12-26 00:40:39
5512180,47,3.0,2013-12-26 00:41:24
5512181,356,4.5,2013-12-26 00:41:50
5512182,457,3.5,2013-12-26 00:43:27
5512183,529,3.0,2013-12-26 01:31:17
5512184,111,3.0,2013-12-26 01:38:16
5512185,36,4.5,2013-12-26 01:53:22
5512186,508,5.0,2013-12-26 01:53:57
5512187,337,4.5,2013-12-26 01:54:16
5512188,356,4.5,2013-12-26 01:54:18
5512189,180,3.0,2013-12-26 01:54:36
5512190,428,4.0,2013-12-26 02:21:11
5512191,953,4.0,2013-12-26 02:25:02
5512192,123,3.5,2013-12-26 03:11:14
5512193,5,2.5,2013-12-26 04:15:02
5512194,196,1.0,2013-12-26 04:15:20
5512195,596,2.5,2013-12-26 04:15:35
5512196,342,2.5,2013-12-26 04:16:05
5512197,333,3.0,2013-12-26 04:16:25
5512198,783,4.0,2013-12-26 04:16:31
5512199,277,3.5,2013-12-26 04:16:46
5512200,105,4.0,2013-12-26 04:16:54
5512201,318,4.5,2013-12-26 04:17:30
5512202,858,3.0,2013-12-26 04:17:33
5512203,50,3.5,2013-12-26 04:17:40
5512204,527,3.5,2013-12-26 04:17:46
5512205,364,4.5,2013-12-26 04:18:03
5512206,590,4.0,2013-12-26 04:18:13
5512207,150,3.0,2013-12-26 04:18:28
5512208,223,3.0,2013-12-26 04:18:31
5512209,17,5.0,2013-12-26 04:18:34
5512210,515,3.5,2013-12-26 04:18:58
5512211,497,3.5,2013-12-26 04:19:00
5512212,587,3.0,2013-12-26 04:19:12
5512213,595,4.5,2013-12-26 04:19:38
5512214,588,4.0,2013-12-26 04:19:45
5512215,34,4.5,2013-12-26 04:19:52
5512216,838,4.0,2013-12-26 04:19:55
5512217,357,3.5,2013-12-26 04:20:00
5512218,1,4.5,2013-12-26 04:23:22
5512219,926,1.0,2013-12-26 04:24:41
5512220,480,3.0,2013-12-26 04:24:57
5512221,534,3.0,2013-12-26 04:25:51
5512222,36,2.5,2013-12-26 04:29:56
5512223,356,2.5,2013-12-26 04:30:04
5512224,337,3.0,2013-12-26 04:32:33
5512225,1035,4.0,2013-12-26 04:32:49
5512226,1028,3.5,2013-12-26 04:32:56
5512227,1022,4.0,2013-12-26 04:33:02
5512228,594,3.5,2013-12-26 04:34:29
5512229,589,3.5,2013-12-26 04:50:45
5512230,500,4.0,2013-12-26 04:52:27
5512231,110,3.0,2013-12-26 05:02:02
5512232,223,2.0,2013-12-26 07:44:18
5512233,304,3.0,2013-12-26 08:56:26
5512234,603,3.0,2013-12-26 09:00:12
5512235,858,3.5,2013-12-26 09:08:08
5512236,293,1.5,2013-12-26 10:28:07
5512237,318,4.0,2013-12-26 12:57:49
5512238,858,4.0,2013-12-26 12:57:53
5512239,527,3.5,2013-12-26 12:57:58
5512240,653,1.5,2013-12-26 13:20:05
5512241,585,0.5,2013-12-26 13:24:10
5512242,216,4.0,2013-12-26 13:25:04
5512243,849,5.0,2013-12-26 13:25:08
5512244,318,5.0,2013-12-26 13:26:53
5512245,858,5.0,2013-12-26 13:26:57
5512246,1033,3.5,2013-12-26 13:27:01
5512247,50,4.5,2013-12-26 13:27:10
5512248,880,2.0,2013-12-26 13:27:19
5512249,782,2.0,2013-12-26 13:27:22
5512250,912,5.0,2013-12-26 13:27:27
5512251,737,1.5,2013-12-26 13:27:40
5512252,688,1.5,2013-12-26 13:27:45
